Game_Number,Result,Sum_Points
1,1-0,848.384615384615
2,1/2-1/2,1168.8551282051278
3,1/2-1/2,1421.8487179487172
4,1/2-1/2,1660.416666666666
5,1/2-1/2,1514.594871794871
6,1/2-1/2,1781.2871794871794
7,1/2-1/2,1340.75128205128
8,1/2-1/2,2204.0051282051277
9,1/2-1/2,1765.1871794871797
10,1/2-1/2,1834.0679487179495
11,0-1,168.51410256410261
12,1/2-1/2,1487.8102564102571
13,1/2-1/2,1305.2384615384615
14,1/2-1/2,1481.2307692307702
15,1/2-1/2,1798.9282051282064
16,1/2-1/2,1806.9358974358997
17,1/2-1/2,1924.1435897435904
18,1/2-1/2,1452.832051282052
19,1/2-1/2,1529.58205128205
20,1/2-1/2,1346.7076923076918
21,1/2-1/2,1811.6820512820505
22,1/2-1/2,1482.1615384615388
23,1/2-1/2,1725.7320512820522
24,1/2-1/2,1858.103846153848
25,1/2-1/2,2041.3692307692302
26,1/2-1/2,1845.6538461538453
27,1/2-1/2,1454.1679487179483
28,1/2-1/2,2261.0435897435905
29,1/2-1/2,1337.3705128205102
30,1-0,950.6128205128199
31,1-0,904.4487179487182
32,1/2-1/2,1287.966666666666
33,1/2-1/2,1650.0589743589737
34,1/2-1/2,1410.1551282051291
35,1/2-1/2,1811.2961538461539
36,1/2-1/2,1120.7794871794881
37,1/2-1/2,1997.479487179487
38,0-1,1148.0782051282058
39,1/2-1/2,1901.2179487179462
40,1/2-1/2,1638.423076923077
41,1/2-1/2,1817.1307692307694
42,1-0,626.5256410256411
43,1/2-1/2,1643.364102564101
44,1/2-1/2,1105.8589743589741
45,1/2-1/2,1872.3743589743585
46,1/2-1/2,1734.8576923076935
47,0-1,1186.4884615384601
48,1/2-1/2,1536.0897435897446
49,1/2-1/2,2005.566666666666
50,0-1,718.4025641025642
